Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Avg_Billed,Avg_Paid,Charge_To_Payment_Ratio
Capital Health Medical Center - Hopewell,Pennington,NJ,356369.8,17054.05,20.9
Capital Health Regional Medical Center,Trenton,NJ,485543.83,23279.7,20.86
Exceptional Community Hospital Yuma,Yuma,AZ,94663.73,4866.13,19.45
Pinnacle Hospital,Crown Point,IN,485732.07,27388.17,17.74
Carepoint Health - Bayonne Medical Center,Bayonne,NJ,305977.31,18434.92,16.6
Gadsden Regional Medical Center,Gadsden,AL,147018.64,9008.26,16.32
Carepoint Health-Christ Hospital,Jersey City,NJ,234135.81,14373.61,16.29
Centennial Hills Hospital Medical Center,Las Vegas,NV,228412.95,14135.07,16.16
Doctors Medical Center,Modesto,CA,394361.56,25589.97,15.41
Summerlin Hospital Medical Center,Las Vegas,NV,203869.68,13277.15,15.35
Cjw Medical Center,Richmond,VA,246666.07,16136.55,15.29
Delray Medical Center,Delray Beach,FL,197679.69,12936.36,15.28
Sierra Medical Center,El Paso,TX,205255.95,13548.93,15.15
Regional Medical Center Of San Jose,San Jose,CA,290358.3,19224.98,15.1
Hca Florida South Shore Hospital,Sun City Center,FL,137169.36,9087.2,15.09
Crestwood Medical Center,Huntsville,AL,157297.04,10468.6,15.03
"St Charles Surgical Hospital, Llc",New Orleans,LA,156038.05,10541.78,14.8
Hca Florida Fawcett Hospital,Port Charlotte,FL,186602.15,12706.2,14.69
Valley Hospital Medical Center,Las Vegas,NV,245792.96,16942.42,14.51
Brookwood Baptist Medical Center,Vestavia,AL,224393.27,15537.79,14.44