Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Total_Patients,Avg_Billed,Avg_Paid,Charge_Ratio,Volume_Category
Adventhealth Orlando,Orlando,FL,30767.0,168071.17,22470.08,7.48,High Volume
New York-Presbyterian Hospital,New York,NY,27689.0,222911.68,40595.38,5.49,High Volume
Nyu Langone Hospitals,New York,NY,26286.0,258010.86,38371.92,6.72,High Volume
Methodist Hospital,San Antonio,TX,17711.0,183203.87,19194.46,9.54,High Volume
Sarasota Memorial Hospital,Sarasota,FL,16770.0,103505.11,15834.7,6.54,High Volume
Christianacare,Newark,DE,16137.0,75288.13,22326.31,3.37,High Volume
Cedars-Sinai Medical Center,Los Angeles,CA,15641.0,431034.8,39038.42,11.04,High Volume
Lehigh Valley Hospital,Allentown,PA,15219.0,151831.62,21244.13,7.15,High Volume
Mayo Clinic Hospital Rochester,Rochester,MN,14778.0,111916.63,42568.18,2.63,High Volume
Massachusetts General Hospital,Boston,MA,13982.0,145525.65,36729.27,3.96,High Volume
Stony Brook University Hospital,Stony Brook,NY,13318.0,156632.23,30059.87,5.21,High Volume
Baptist Medical Center Jacksonville,Jacksonville,FL,13224.0,111629.0,18729.53,5.96,High Volume
Norton Hospital / Norton Healthcare Pavilion / Nor,Louisville,KY,12563.0,101035.17,17667.03,5.72,High Volume
Northshore University Healthsystem Evanston Hosp,Evanston,IL,12535.0,71632.02,18974.41,3.78,High Volume
Morristown Medical Center,Morristown,NJ,12307.0,158671.23,26913.09,5.9,High Volume
North Shore University Hospital,Manhasset,NY,12259.0,202395.32,30813.23,6.57,High Volume
Stanford Health Care,Stanford,CA,11829.0,447587.54,53465.55,8.37,High Volume
Orlando Health Orlando Regional Medical Center,Orlando,FL,11297.0,184149.88,21329.02,8.63,High Volume
South Shore Hospital,South Weymouth,MA,11296.0,27661.06,13902.94,1.99,High Volume
Brigham And Women's Hospital,Boston,MA,11164.0,146747.37,37375.04,3.93,High Volume